TWEETID    PREDICTEDVALUE    PROBABILITY    ACTUALVALUE RESULT
439525439430995968    eu    -2.09E+02    es    wrong
439534259318312960    ca    -2.75E+02    es    wrong
439535499850813441    pt    -1.42E+02    es    wrong
439535613822664704    gl    -1.58E+02    es    wrong
439536938664878080    ca    -3.93E+02    es    wrong
439537235042766848    pt    -6.12E+02    es    wrong
439537999442112512    ca    -1.60E+02    es    wrong
439540887056838656    ca    -1.72E+02    es    wrong
439541111531790336    ca    -2.39E+02    es    wrong
439542604355870720    ca    -5.98E+02    es    wrong
439542606624993280    ca    -1.76E+02    es    wrong
439555042723766272    ca    -2.77E+02    es    wrong
439558368873971712    ca    -3.95E+02    es    wrong
439560861586558976    en    -5.23E+02    es    wrong
439567982818525184    ca    -9.90E+01    es    wrong
439577257435463680    ca    -2.35E+02    es    wrong
439608667051405312    ca    -4.45E+02    es    wrong
439637547665612800    ca    -1.84E+02    es    wrong
439645755952070656    ca    -4.17E+02    es    wrong
439657427320180736    ca    -5.22E+02    es    wrong
439663966571495425    ca    -2.83E+02    es    wrong
439670178251829248    ca    -6.74E+02    es    wrong
439684933595197440    ca    -2.25E+02    es    wrong
439687870098726913    ca    -1.20E+02    es    wrong
439687998012395520    ca    -1.03E+02    es    wrong
439688683978248192    ca    -2.90E+02    es    wrong
439692909018099712    ca    -6.72E+01    eu    wrong
439696075122028544    ca    -5.47E+02    es    wrong
439697970804834304    pt    -1.86E+02    es    wrong
439701625616474112    ca    -4.20E+01    es    wrong
439706164432224256    eu    -1.27E+02    eu    correct
439709342955474944    pt    -2.89E+02    es    wrong
439713198129025024    ca    -7.51E+01    es    wrong
439714893332508672    en    -6.72E+01    eu    wrong
439718759201509376    ca    -1.23E+02    es    wrong
439719845756940288    ca    -1.49E+02    es    wrong
439722026287529984    gl    -9.74E+01    es    wrong
439723376354287616    ca    -4.80E+02    es    wrong
439723585494859777    ca    -2.93E+02    es    wrong
439723745511743488    ca    -1.23E+02    es    wrong
439725940768538624    pt    -9.07E+01    es    wrong
439726309103898624    ca    -4.31E+02    es    wrong
439728314744586240    ca    -1.52E+02    es    wrong
439733759790030848    ca    -1.87E+02    es    wrong
439734193401397248    ca    -6.43E+01    en    wrong
439735656383012864    ca    -1.29E+02    es    wrong
439739248175226881    ca    -5.97E+01    es    wrong
439741213668020224    ca    -4.82E+02    es    wrong
439742711311380480    gl    -1.65E+02    es    wrong
439743216196521985    pt    -2.00E+02    es    wrong
439744756328169472    ca    -1.30E+02    es    wrong
439745131479322625    ca    -1.14E+02    es    wrong
439745133052186625    ca    -2.86E+02    es    wrong
439748495395020800    ca    -4.62E+02    es    wrong
439751898217070592    ca    -3.13E+02    es    wrong
439753018041708546    ca    -6.15E+02    es    wrong
439755659622776832    ca    -1.78E+02    es    wrong
439756762099351552    pt    -3.04E+01    es    wrong
439758392232792064    eu    -1.04E+02    es    wrong
439758892613238784    ca    -3.07E+02    es    wrong
439760308354441217    ca    -4.04E+02    es    wrong
439762722088316929    gl    -7.23E+01    es    wrong
439765878427897856    ca    -1.50E+02    es    wrong
439771958402891776    ca    -2.43E+02    es    wrong
439772132441358336    ca    -1.09E+02    es    wrong
439772487346565121    ca    -5.13E+02    en    wrong
439772647812263936    ca    -2.04E+02    es    wrong
439772990923079681    ca    -5.42E+02    es    wrong
439774469381709824    ca    -9.48E+01    es    wrong
439777421014102016    ca    -2.21E+02    es    wrong
439778173753249792    ca    -1.78E+02    es    wrong
439778197543321600    pt    -9.28E+00    es    wrong
439779027084410880    ca    -1.99E+02    es    wrong
439779529671065601    ca    -7.38E+01    es    wrong
439780360181010432    en    -2.23E+02    es    wrong
439781041231122432    eu    -2.62E+02    es    wrong
439782848011460609    ca    -3.13E+02    es    wrong
439791245490405376    ca    -5.60E+02    es    wrong
439793773376458753    ca    -4.02E+02    es    wrong
439794545736577024    ca    -6.28E+02    es    wrong
439796156428996608    eu    -3.28E+01    eu    correct
439799132828741632    ca    -4.29E+02    en    wrong
439803817732091904    ca    -2.85E+02    es    wrong
439805403736858624    en    -2.78E+02    es    wrong
439806238755659776    ca    -3.66E+02    eu    wrong
439811780182020096    ca    -3.49E+02    es    wrong
439833479644450816    eu    -3.20E+02    eu    correct
439843120029917185    ca    -2.47E+02    es    wrong
439850245397413889    ca    -2.29E+02    eu    wrong
439851117883949056    ca    -3.46E+02    es    wrong
439855891396177920    ca    -1.72E+02    es    wrong
439860023263789056    ca    -4.62E+02    es    wrong
439863014502981632    ca    -4.80E+02    eu    wrong
439865566594367489    eu    -8.04E+01    eu    correct
439866488997310464    ca    -6.02E+01    es    wrong
439867278801526785    ca    -2.34E+02    es    wrong
439868487641890816    gl    -1.25E+02    es    wrong
439877239271088128    ca    -8.96E+01    es    wrong
439877973643370496    ca    -2.93E+02    es    wrong
439880060351578112    ca    -5.30E+02    en    wrong
439880758489284608    ca    -3.46E+02    es    wrong
439881764405018624    ca    -3.92E+02    es    wrong
439881918583427072    ca    -4.36E+02    es    wrong
439882129527173120    pt    -1.78E+02    es    wrong
439882175077703680    ca    -3.30E+02    es    wrong
439885845106294784    ca    -1.77E+02    es    wrong
439886952209600512    ca    -1.78E+02    es    wrong
439887073907343360    ca    -1.20E+02    es    wrong
439887840508653568    ca    -2.22E+02    es    wrong
439888209389314048    eu    -1.08E+02    eu    correct
439889674304503808    ca    -2.26E+02    es    wrong
439890502595645441    ca    -1.45E+02    es    wrong
439890607415521280    en    -1.39E+02    es    wrong
439891531810754560    ca    -1.24E+02    es    wrong
439891978055344128    pt    -3.17E+02    es    wrong
439892633201442816    ca    -7.25E+01    es    wrong
439896323006160896    ca    -1.77E+02    es    wrong
439898573048520704    ca    -4.77E+02    es    wrong
439899184825925633    ca    -1.92E+02    es    wrong
439901534152060928    en    -2.30E+02    eu    wrong
439902882482376704    en    -2.68E+02    es    wrong
439907530010284032    eu    -1.01E+02    es    wrong
439913363897065472    ca    -3.17E+02    en    wrong
439917540643713024    ca    -6.34E+01    es    wrong
439918922717229057    ca    -3.95E+02    es    wrong
439920801400500224    ca    -1.26E+02    es    wrong
439922834241245184    eu    -1.30E+02    es    wrong
439923689531133952    ca    -2.16E+02    es    wrong
439924336389287936    ca    -3.79E+02    es    wrong
439924591817785344    ca    -2.35E+02    es    wrong
439924668418768896    ca    -4.66E+01    es    wrong
439925687655604224    ca    -3.41E+02    es    wrong
439928861376004096    ca    -1.39E+02    es    wrong
439929140280840192    ca    -5.44E+01    es    wrong
439937400153051136    eu    -2.02E+02    es    wrong
439938487660601344    ca    -3.24E+02    es    wrong
439940871832993792    pt    -9.51E+01    es    wrong
439942466524151809    pt    -4.69E+02    es    wrong
439943628337991680    gl    -3.69E+01    eu    wrong
439945971234267136    ca    -3.08E+02    es    wrong
439954951406514177    ca    -4.48E+01    es    wrong
439957503279771648    ca    -3.63E+02    es    wrong
439958139673128960    pt    -1.34E+02    es    wrong
439960813869092866    ca    -1.05E+02    eu    wrong
439966361222385665    ca    -2.18E+02    es    wrong
439991199475056640    en    -5.79E+02    es    wrong
440005050271006720    en    -5.86E+02    es    wrong
440030203675672576    ca    -1.58E+02    es    wrong
440036135801475072    pt    -1.08E+02    es    wrong
440037387243388928    ca    -5.31E+02    es    wrong
440037575362113536    ca    -2.54E+02    es    wrong
440039016222969856    en    -5.79E+02    es    wrong
440042517539856384    ca    -3.09E+02    eu    wrong
440047423801802752    ca    -9.98E+01    es    wrong
440050706494808064    ca    -9.72E+01    es    wrong
440051211795193856    ca    -6.79E+01    es    wrong
440051860909879296    ca    -3.45E+02    es    wrong
440054051187609600    ca    -2.72E+02    es    wrong
440056113581809664    eu    -7.80E+00    eu    correct
440062495173410816    ca    -5.06E+01    es    wrong
440064271683424256    ca    -1.86E+02    es    wrong
440064437085806592    ca    -2.84E+01    es    wrong
440067559165927424    pt    -4.27E+02    es    wrong
440071874123694080    ca    -5.53E+02    es    wrong
440076707484426240    ca    -1.40E+02    es    wrong
440081624068546561    ca    -5.45E+02    es    wrong
440083055772856320    ca    -2.17E+02    en    wrong
440083929245425664    pt    -1.66E+02    es    wrong
440085653326675968    ca    -6.38E+02    es    wrong
440086968740085760    ca    -2.15E+02    es    wrong
440087026902528000    pt    -6.07E+01    es    wrong
440087494122819585    ca    -1.49E+02    es    wrong
440088995922718720    ca    -3.06E+02    es    wrong
440090734352662528    en    -3.49E+02    es    wrong
440091534835593216    ca    -1.86E+02    es    wrong
440092286186442752    ca    -5.91E+02    es    wrong
440093179627716608    en    -2.99E+02    es    wrong
440093674161340416    ca    -2.30E+02    es    wrong
440094360991191041    ca    -2.48E+02    es    wrong
440095537212456960    pt    -2.88E+02    es    wrong
440096596853030912    ca    -1.14E+02    en    wrong
440096806773723136    ca    -2.61E+02    es    wrong
440100288142528512    eu    -4.52E+01    eu    correct
440101073689518081    eu    -4.71E+02    es    wrong
440104660091670528    ca    -9.69E+01    es    wrong
440105897411764224    ca    -6.44E+01    es    wrong
440106224827518976    ca    -7.17E+01    en    wrong
440109967161700353    eu    -1.46E+02    eu    correct
440112498919112704    ca    -4.17E+02    es    wrong
440112889874378752    ca    -4.96E+02    es    wrong
440113304078675968    gl    -6.08E+01    es    wrong
440113553547472896    ca    -5.71E+02    es    wrong
440119249877884928    pt    -2.35E+02    es    wrong
440119426281897984    ca    -8.20E+01    eu    wrong
440120475365425152    ca    -1.84E+02    es    wrong
440121573182558208    en    -1.56E+02    es    wrong
440122522902990848    eu    -3.43E+01    es    wrong
440123756594601984    ca    -3.48E+02    es    wrong
440125137212690432    ca    -3.04E+02    es    wrong
440131832273977345    ca    -2.25E+02    es    wrong
440134184167047168    ca    -1.78E+02    es    wrong
440138367918145536    pt    -2.34E+02    es    wrong
440138442039898112    ca    -1.47E+02    es    wrong
440140132575088640    pt    -4.49E+02    es    wrong
440142325411364864    ca    -5.13E+01    en    wrong
440142761564856320    ca    -4.45E+02    en    wrong
440143542061916160    ca    -3.41E+02    es    wrong
440143940780822528    eu    -3.53E+02    es    wrong
440148782106550272    ca    -1.95E+02    es    wrong
440151450812170240    ca    -4.27E+02    es    wrong
440151996805689344    ca    -2.17E+02    es    wrong
440154973201248256    ca    -3.06E+02    es    wrong
440158838503657473    ca    -3.30E+01    es    wrong
440161436434989056    ca    -4.81E+02    es    wrong
440165084330196992    pt    -1.38E+02    es    wrong
440166697522429952    ca    -1.56E+02    es    wrong
440166817571831808    ca    -1.50E+02    es    wrong
440166938837127170    ca    -1.51E+02    es    wrong
440168545717350400    ca    -4.17E+02    es    wrong
440173712621719554    gl    -2.65E+02    es    wrong
440175695554445312    gl    -1.61E+02    es    wrong
440175920134250497    ca    -3.73E+02    es    wrong
440177014948249600    ca    -1.86E+02    es    wrong
440180607692591104    eu    -8.28E+01    es    wrong
440183369717268481    ca    -2.85E+02    es    wrong
440189118816223233    pt    -4.66E+02    es    wrong
440189310667882497    ca    -5.95E+01    eu    wrong
440193306119921664    ca    -3.94E+02    es    wrong
440193608743141376    ca    -4.95E+02    es    wrong
440195047536209920    en    -5.05E+02    es    wrong
440195648080855040    ca    -2.34E+02    es    wrong
440199397100761090    pt    -1.21E+02    es    wrong
440200055363207168    pt    -3.20E+02    es    wrong
440207131867119617    pt    -3.16E+02    es    wrong
440207895050072064    ca    -5.05E+02    es    wrong
440208826986692608    ca    -5.10E+01    es    wrong
440210853347201024    ca    -5.33E+02    es    wrong
440212305876647936    ca    -6.25E+02    es    wrong
440213397389336576    ca    -1.75E+02    es    wrong
440216563015512064    ca    -4.93E+02    es    wrong
440217412043276289    ca    -3.54E+02    es    wrong
440218749040611330    ca    -4.85E+02    es    wrong
440220846544945152    ca    -4.91E+02    es    wrong
440221383155789824    pt    -1.53E+02    es    wrong
440223170025758720    ca    -2.40E+02    es    wrong
440223231333916672    ca    -1.67E+02    es    wrong
440223464008744960    ca    -1.41E+02    es    wrong
440223664072847360    ca    -2.79E+02    es    wrong
440226811440803841    gl    -4.57E+01    es    wrong
440227196465319936    ca    -1.88E+02    es    wrong
440228099637407744    ca    -2.86E+02    es    wrong
440228647749050368    ca    -3.20E+02    eu    wrong
440230500607619072    ca    -2.77E+01    es    wrong
440230856238854144    ca    -5.94E+02    es    wrong
440231619610554368    ca    -1.90E+02    es    wrong
440231963333775360    ca    -4.46E+02    es    wrong
440232973733208064    ca    -4.67E+02    en    wrong
440233026946342912    ca    -4.54E+02    es    wrong
440234262072418304    eu    -1.12E+02    eu    correct
440235306999353344    en    -5.88E+02    es    wrong
440235308010192896    en    -5.81E+02    es    wrong
440235365669294080    ca    -3.76E+02    en    wrong
440235909418856448    ca    -5.77E+01    es    wrong
440236418833862656    ca    -2.24E+02    eu    wrong
440236780999409664    ca    -5.05E+02    en    wrong
440237853256474624    ca    -4.39E+02    en    wrong
440238558486749184    ca    -4.60E+02    en    wrong
440239929407574016    pt    -2.36E+02    es    wrong
440244528856182785    ca    -1.99E+02    es    wrong
440245209797259264    ca    -9.44E+01    es    wrong
440245827744063489    en    -1.36E+01    es    wrong
440245855497760769    ca    -3.46E+02    es    wrong
440246376522596352    ca    -1.92E+02    es    wrong
440246693406453761    ca    -1.31E+02    es    wrong
440247057455251456    eu    -2.16E+02    es    wrong
440248047180976128    ca    -2.30E+02    es    wrong
440248987707527168    pt    -3.52E+02    es    wrong
440249804460154880    ca    -3.46E+02    es    wrong
440250516837515264    en    -1.96E+02    ca    wrong
440252583920545792    ca    -2.63E+02    es    wrong
440254745911906305    en    -2.52E+02    es    wrong
440256933820641281    ca    -6.35E+02    es    wrong
440257804449103873    ca    -4.27E+01    es    wrong
440260517090062336    ca    -3.33E+02    es    wrong
440263970134704128    ca    -1.91E+02    es    wrong
440266180721639424    ca    -1.25E+02    es    wrong
440266897213640704    ca    -1.74E+02    es    wrong
440269274419302400    ca    -2.42E+02    es    wrong
440269386424020992    ca    -2.48E+02    es    wrong
440269450257137664    ca    -1.00E+02    es    wrong
440270064470982656    ca    -2.63E+01    es    wrong
440270076181487618    ca    -2.22E+02    es    wrong
440270900462891009    ca    -2.99E+02    eu    wrong
440275274869907457    ca    -3.43E+02    es    wrong
440278860907958273    ca    -5.22E+02    es    wrong
440279018701873152    ca    -4.03E+02    es    wrong
440280131420966913    ca    -3.29E+02    es    wrong
440281113995780097    ca    -6.83E+01    es    wrong
440286915959336962    ca    -3.35E+02    es    wrong
440300851065020418    ca    -6.13E+01    en    wrong
440301608073973760    en    -2.26E+02    es    wrong
440305380485529600    ca    -2.70E+02    es    wrong
440306033387651072    en    -3.41E+02    es    wrong
440313754572832768    ca    -3.67E+02    es    wrong
440314063059714049    ca    -1.39E+02    es    wrong
440321827739820032    ca    -1.25E+02    es    wrong
440326520410611712    ca    -2.76E+02    es    wrong
440327588964478976    ca    -2.76E+02    es    wrong
440340253594112000    ca    -1.87E+02    es    wrong
440342572935176192    eu    -9.17E+01    en    wrong
440355522244395008    en    -1.86E+02    en    correct
440368863700451328    ca    -6.26E+02    es    wrong
440378785335369728    ca    -4.97E+02    es    wrong
440398888072409088    en    -4.59E+02    es    wrong
440401250606018560    ca    -2.99E+02    es    wrong
440405154559688704    en    -6.20E+02    es    wrong
440407732844507136    en    -5.60E+02    es    wrong
440410826533789697    ca    -2.67E+02    es    wrong
440412754122645504    en    -3.97E+02    es    wrong
440412907403485184    pt    -5.33E+02    es    wrong
440414270355165184    en    -1.51E+02    es    wrong
440419755691098112    ca    -2.53E+01    es    wrong
440424536673353728    ca    -3.45E+02    es    wrong
440427076030836736    ca    -2.99E+02    es    wrong
440427330843193344    ca    -6.17E+02    es    wrong
440431699697336320    en    -3.37E+02    es    wrong
440440133922607104    ca    -8.07E+01    eu    wrong
440442381155176448    ca    -1.58E+02    es    wrong
440444750991478784    ca    -3.19E+02    es    wrong
440448522916470784    ca    -1.45E+02    es    wrong
440454740275912704    eu    -1.97E+01    eu    correct
440457952214777857    pt    -1.02E+02    es    wrong
440459587498803200    ca    -4.68E+02    es    wrong
440459940982165504    gl    -3.52E+02    eu    wrong
440461886208094208    ca    -1.38E+02    es    wrong
440462676662452224    ca    -1.63E+02    es    wrong
440464642234925056    ca    -1.51E+02    es    wrong
440465385880821760    pt    -1.04E+01    en    wrong
440465924664332288    pt    -2.14E+02    es    wrong
440466085507506176    es    -1.30E+01    es    correct
440467829863641089    ca    -1.36E+02    es    wrong
440468241149079552    ca    -5.08E+02    es    wrong
440468854939340800    ca    -1.93E+02    eu    wrong
440470637891842048    ca    -2.29E+02    es    wrong
440472046456537088    pt    -5.51E+02    es    wrong
440473263740043264    ca    -2.21E+02    es    wrong
440473470598922240    ca    -5.39E+02    es    wrong
440473931620032512    ca    -1.02E+02    es    wrong
440474338979229696    eu    -2.28E+02    es    wrong
440475784181207040    gl    -2.46E+02    eu    wrong
440475919128743937    ca    -1.96E+02    es    wrong
440477646414430208    ca    -2.76E+02    es    wrong
440477646628339712    en    -1.48E+02    es    wrong
440479354397941760    ca    -2.03E+02    es    wrong
440481464707469312    gl    -6.70E+01    eu    wrong
440481656374571008    en    -9.75E+01    es    wrong
440483639923851264    eu    -1.21E+02    eu    correct
440483909235933184    ca    -3.99E+02    es    wrong
440484589703036928    ca    -1.67E+02    es    wrong
440486745764016128    en    -4.35E+02    es    wrong
440487281485291520    ca    -1.74E+02    es    wrong
440488184112508928    eu    -1.84E+02    es    wrong
440489511190274048    ca    -5.35E+02    eu    wrong
440491779184672768    ca    -1.25E+02    en    wrong
440492056730144768    ca    -4.55E+02    es    wrong
440493976982781952    ca    -5.49E+02    es    wrong
440494551963549696    ca    -8.89E+01    es    wrong
440495221709619201    ca    -5.34E+02    es    wrong
440495710828367872    ca    -3.58E+02    es    wrong
440501567238979584    ca    -6.59E+01    es    wrong
440503745718534145    ca    -2.54E+01    es    wrong
440503955508846593    ca    -9.23E+01    es    wrong
440505330124877824    ca    -4.65E+02    es    wrong
440506174413484032    en    -1.72E+02    es    wrong
440506416000798721    ca    -1.21E+02    es    wrong
440507028239556608    eu    -2.94E+02    eu    correct
440509136783294464    ca    -2.79E+04    es    wrong
440584472086732800    ca    -3.41E+02    es    wrong
440584474947235840    ca    -2.18E+02    es    wrong
440586413981958144    eu    -2.02E+02    es    wrong
440586739489333248    pt    -2.68E+02    es    wrong
440587150837694465    eu    -8.35E+01    es    wrong
440587922497351681    ca    -9.43E+01    es    wrong
440588450845429760    ca    -1.54E+02    es    wrong
440588788017152001    ca    -5.76E+02    es    wrong
440588870498144256    en    -7.26E+01    es    wrong
440589999793528832    eu    -1.88E+02    es    wrong
440590754868908032    ca    -4.18E+02    es    wrong
440591230284886016    pt    -5.46E+02    es    wrong
440591527661031424    ca    -1.79E+02    es    wrong
440592186112225280    pt    -3.95E+02    es    wrong
440592259814547456    en    -1.82E+01    es    wrong
440592690418548736    ca    -2.89E+02    es    wrong
440594341355356161    ca    -5.89E+01    es    wrong
440594447966146561    gl    -1.95E+02    es    wrong
440595611340267520    pt    -9.50E+01    es    wrong
440595732484329472    ca    -2.90E+02    es    wrong
440595752520527872    en    -3.95E+02    en    correct
440598293794807808    ca    -1.30E+02    es    wrong
440599310741549056    ca    -5.41E+02    es    wrong
440599380601888768    ca    -2.21E+02    es    wrong
440601295528140802    ca    -3.70E+02    es    wrong
440603373684129792    eu    -2.73E+02    es    wrong
440606528685735936    eu    -4.43E+01    es    wrong
440608133484802048    ca    -1.48E+02    es    wrong
440608170273435648    eu    -2.31E+02    eu    correct
440608983599292416    pt    -1.17E+02    es    wrong
440608987932016641    pt    -1.07E+02    es    wrong
440614781561876480    en    -2.46E+02    es    wrong
440615974770081794    ca    -2.03E+02    es    wrong
440616707733065728    pt    -1.88E+02    es    wrong
440618064493944832    eu    -1.22E+02    es    wrong
440618724652220416    ca    -3.91E+02    es    wrong
440619135039705088    ca    -3.37E+02    es    wrong
440621636656828417    ca    -5.08E+02    es    wrong
440622593855721472    ca    -4.78E+02    es    wrong
440623371647459328    ca    -5.01E+02    es    wrong
440623528791261184    ca    -6.68E+01    es    wrong
440624846721277952    pt    -3.80E+02    es    wrong
440626648732680193    eu    -1.50E+02    es    wrong
440628785285586944    ca    -7.46E+01    es    wrong
440629336681771008    ca    -4.40E+02    es    wrong
440630958065483776    ca    -7.06E+01    eu    wrong
440631009663778816    ca    -1.86E+02    es    wrong
440632258085793792    ca    -6.07E+01    es    wrong
440634288795844608    ca    -4.74E+02    es    wrong
440635060988170241    ca    -5.01E+02    es    wrong
440638745189298176    ca    -1.09E+02    es    wrong
440641472145424384    ca    -2.44E+02    es    wrong
440641696611958784    ca    -1.02E+02    eu    wrong
440642006482948097    pt    -1.91E+02    es    wrong
440643030249660416    ca    -1.74E+02    es    wrong
440649976499433472    eu    -5.08E+02    es    wrong
440650598908973056    ca    -2.22E+02    es    wrong
440655378158997504    ca    -3.88E+02    es    wrong
440659207634030593    ca    -1.05E+02    es    wrong
440663049926889472    ca    -3.75E+02    es    wrong
440671030580101120    ca    -4.12E+02    es    wrong
440680277304938496    ca    -4.84E+02    en    wrong
440684910194745344    pt    -1.20E+02    es    wrong
440700621306740736    eu    -1.98E+02    es    wrong
440720877366575104    ca    -5.49E+02    es    wrong
440729490877337600    eu    -1.81E+02    es    wrong
440731094699487232    ca    -4.83E+02    es    wrong
440736721232068608    eu    -7.27E+01    es    wrong
440744703156170753    ca    -5.64E+02    es    wrong
440744778981179392    eu    -1.80E+02    eu    correct
440748063704219648    ca    -1.01E+02    es    wrong
440755985381339136    ca    -4.35E+02    es    wrong
440758518044717056    ca    -4.08E+02    en    wrong
440758579436748800    es    -1.22E+01    eu    wrong
440766078419873792    pt    -3.08E+01    es    wrong
440779224342085632    ca    -1.14E+02    es    wrong
440781541783121920    pt    -1.15E+02    es    wrong
440784332316495872    ca    -2.56E+02    es    wrong
440787310649806848    eu    -2.09E+02    eu    correct
440787356493578240    ca    -9.81E+01    es    wrong
440788644761464832    en    -1.49E+02    es    wrong
440789068897849344    pt    -1.24E+02    es    wrong
