TWEETID    PREDICTEDVALUE    PROBABILITY    ACTUALVALUE RESULT
439805403736858624    eu    -9.18E+01    es    wrong
439806238755659776    eu    -1.46E+02    eu    correct
439811780182020096    es    -1.39E+02    es    correct
439833479644450816    eu    -1.12E+02    eu    correct
439843120029917185    gl    -1.02E+02    es    wrong
439850245397413889    eu    -6.55E+01    eu    correct
439851117883949056    ca    -5.92E+01    es    wrong
439855891396177920    gl    -6.14E+01    es    wrong
439860023263789056    pt    -2.17E+02    es    wrong
439863014502981632    eu    -1.22E+02    eu    correct
439865566594367489    eu    -4.26E+01    eu    correct
439866488997310464    es    -2.60E+01    es    correct
439867278801526785    gl    -9.63E+01    es    wrong
439868487641890816    gl    -3.18E+01    es    wrong
439877239271088128    en    -4.02E+01    es    wrong
439877973643370496    en    -1.28E+02    es    wrong
439880060351578112    en    -2.02E+02    en    correct
439880758489284608    gl    -1.46E+02    es    wrong
439881764405018624    gl    -1.60E+02    es    wrong
439881918583427072    gl    -1.85E+02    es    wrong
439882129527173120    gl    -6.69E+01    es    wrong
439882175077703680    es    -1.26E+02    es    correct
439885845106294784    gl    -6.65E+01    es    wrong
439886952209600512    es    -6.98E+01    es    correct
439887073907343360    gl    -4.14E+01    es    wrong
439887840508653568    gl    -8.26E+01    es    wrong
439888209389314048    eu    -6.27E+01    eu    correct
439889674304503808    gl    -8.71E+01    es    wrong
439890502595645441    gl    -6.26E+01    es    wrong
439890607415521280    es    -5.11E+01    es    correct
439891531810754560    es    -5.80E+01    es    correct
439891978055344128    gl    -1.20E+02    es    wrong
439892633201442816    gl    -3.13E+01    es    wrong
439896323006160896    es    -7.73E+01    es    correct
439898573048520704    gl    -2.03E+02    es    wrong
439899184825925633    gl    -8.20E+01    es    wrong
439901534152060928    ca    -7.57E+01    eu    wrong
439902882482376704    es    -8.28E+01    es    correct
439907530010284032    es    -4.33E+01    es    correct
439913363897065472    en    -1.25E+02    en    correct
439917540643713024    es    -3.10E+01    es    correct
439918922717229057    gl    -1.53E+02    es    wrong
439920801400500224    gl    -5.72E+01    es    wrong
439922834241245184    gl    -5.27E+01    es    wrong
439923689531133952    eu    -7.70E+01    es    wrong
439924336389287936    pt    -1.35E+02    es    wrong
439924591817785344    gl    -9.36E+01    es    wrong
439924668418768896    gl    -1.40E+01    es    wrong
439925687655604224    gl    -1.05E+02    es    wrong
439928861376004096    ca    -5.80E+01    es    wrong
439929140280840192    eu    -2.20E+01    es    wrong
439937400153051136    gl    -6.64E+01    es    wrong
439938487660601344    pt    -1.04E+02    es    wrong
439940871832993792    gl    -3.82E+01    es    wrong
439942466524151809    gl    -1.36E+02    es    wrong
439943628337991680    eu    -1.52E+01    eu    correct
439945971234267136    gl    -1.08E+02    es    wrong
439954951406514177    es    -2.07E+01    es    correct
439957503279771648    gl    -1.35E+02    es    wrong
439958139673128960    pt    -4.98E+01    es    wrong
439960813869092866    eu    -5.23E+01    eu    correct
439966361222385665    en    -9.70E+01    es    wrong
439991199475056640    es    -1.44E+02    es    correct
440005050271006720    es    -1.40E+02    es    correct
440030203675672576    gl    -6.34E+01    es    wrong
440036135801475072    gl    -4.15E+01    es    wrong
440037387243388928    ca    -2.15E+02    es    wrong
440037575362113536    gl    -1.12E+02    es    wrong
440039016222969856    es    -1.44E+02    es    correct
440042517539856384    eu    -1.12E+02    eu    correct
440047423801802752    gl    -3.81E+01    es    wrong
440050706494808064    gl    -3.81E+01    es    wrong
440051211795193856    eu    -2.46E+01    es    wrong
440051860909879296    ca    -1.22E+02    es    wrong
440054051187609600    ca    -1.06E+02    es    wrong
440056113581809664    eu    -3.40E+00    eu    correct
440062495173410816    gl    -1.89E+01    es    wrong
440064271683424256    gl    -7.17E+01    es    wrong
440064437085806592    es    -1.54E+01    es    correct
440067559165927424    gl    -1.29E+02    es    wrong
440071874123694080    gl    -2.13E+02    es    wrong
440076707484426240    gl    -6.31E+01    es    wrong
440081624068546561    en    -1.67E+02    es    wrong
440083055772856320    en    -5.12E+01    en    correct
440083929245425664    gl    -3.82E+01    es    wrong
440085653326675968    gl    -2.01E+02    es    wrong
440086968740085760    eu    -6.28E+01    es    wrong
440087026902528000    eu    -2.63E+01    es    wrong
440087494122819585    gl    -3.81E+01    es    wrong
440088995922718720    gl    -1.24E+02    es    wrong
440090734352662528    gl    -1.18E+02    es    wrong
440091534835593216    en    -5.26E+01    es    wrong
440092286186442752    gl    -2.16E+02    es    wrong
440093179627716608    ca    -9.50E+01    es    wrong
440093674161340416    gl    -5.94E+01    es    wrong
440094360991191041    gl    -1.08E+02    es    wrong
440095537212456960    gl    -1.23E+02    es    wrong
440096596853030912    en    -3.92E+01    en    correct
440096806773723136    eu    -1.10E+02    es    wrong
440100288142528512    eu    -2.12E+01    eu    correct
440101073689518081    es    -1.32E+02    es    correct
440104660091670528    gl    -3.79E+01    es    wrong
440105897411764224    es    -3.09E+01    es    correct
440106224827518976    en    -2.62E+01    en    correct
440109967161700353    eu    -4.48E+01    eu    correct
440112498919112704    pt    -1.29E+02    es    wrong
440112889874378752    es    -1.72E+02    es    correct
440113304078675968    gl    -2.68E+01    es    wrong
440113553547472896    gl    -1.64E+02    es    wrong
440119249877884928    gl    -9.56E+01    es    wrong
440119426281897984    eu    -3.44E+01    eu    correct
440120475365425152    gl    -7.46E+01    es    wrong
440121573182558208    gl    -4.46E+01    es    wrong
440122522902990848    pt    -2.03E+01    es    wrong
440123756594601984    gl    -1.47E+02    es    wrong
440125137212690432    gl    -1.15E+02    es    wrong
440131832273977345    gl    -1.01E+02    es    wrong
440134184167047168    gl    -7.58E+01    es    wrong
440138367918145536    gl    -1.00E+02    es    wrong
440138442039898112    eu    -5.23E+01    es    wrong
440140132575088640    es    -1.69E+02    es    correct
440142325411364864    en    -1.87E+01    en    correct
440142761564856320    en    -1.66E+02    en    correct
440143542061916160    gl    -1.28E+02    es    wrong
440143940780822528    gl    -1.16E+02    es    wrong
440148782106550272    eu    -5.33E+01    es    wrong
440151450812170240    gl    -1.58E+02    es    wrong
440151996805689344    gl    -8.35E+01    es    wrong
440154973201248256    es    -1.11E+02    es    correct
440158838503657473    es    -1.61E+01    es    correct
440161436434989056    gl    -2.04E+02    es    wrong
440165084330196992    en    -5.63E+01    es    wrong
440166697522429952    ca    -7.04E+01    es    wrong
440166817571831808    gl    -6.85E+01    es    wrong
440166938837127170    es    -7.32E+01    es    correct
440168545717350400    pt    -1.29E+02    es    wrong
440173712621719554    en    -7.56E+01    es    wrong
440175695554445312    gl    -7.19E+01    es    wrong
440175920134250497    gl    -1.66E+02    es    wrong
440177014948249600    pt    -6.48E+01    es    wrong
440180607692591104    gl    -3.46E+01    es    wrong
440183369717268481    gl    -1.11E+02    es    wrong
440189118816223233    es    -1.85E+02    es    correct
440189310667882497    eu    -2.59E+01    eu    correct
440193306119921664    gl    -1.39E+02    es    wrong
440193608743141376    gl    -2.03E+02    es    wrong
440195047536209920    es    -1.24E+02    es    correct
440195648080855040    gl    -7.67E+01    es    wrong
440199397100761090    gl    -5.19E+01    es    wrong
440200055363207168    es    -1.04E+02    es    correct
440207131867119617    gl    -1.30E+02    es    wrong
440207895050072064    gl    -2.01E+02    es    wrong
440208826986692608    gl    -1.83E+01    es    wrong
440210853347201024    gl    -2.20E+02    es    wrong
440212305876647936    en    -2.11E+02    es    wrong
440213397389336576    gl    -7.54E+01    es    wrong
440216563015512064    es    -1.50E+02    es    correct
440217412043276289    gl    -1.20E+02    es    wrong
440218749040611330    gl    -1.86E+02    es    wrong
440220846544945152    gl    -2.00E+02    es    wrong
440221383155789824    es    -6.67E+01    es    correct
440223170025758720    en    -1.06E+02    es    wrong
440223231333916672    pt    -6.37E+01    es    wrong
440223464008744960    es    -5.01E+01    es    correct
440223664072847360    gl    -1.15E+02    es    wrong
440226811440803841    gl    -1.95E+01    es    wrong
440227196465319936    gl    -8.32E+01    es    wrong
440228099637407744    en    -1.13E+02    es    wrong
440228647749050368    eu    -1.31E+02    eu    correct
440230500607619072    gl    -1.51E+01    es    wrong
440230856238854144    gl    -2.12E+02    es    wrong
440231619610554368    en    -5.58E+01    es    wrong
440231963333775360    gl    -1.51E+02    es    wrong
440232973733208064    en    -1.70E+02    en    correct
440233026946342912    gl    -1.79E+02    es    wrong
440234262072418304    eu    -5.86E+01    eu    correct
440235306999353344    es    -1.43E+02    es    correct
440235308010192896    es    -1.47E+02    es    correct
440235365669294080    en    -1.58E+02    en    correct
440235909418856448    gl    -2.81E+01    es    wrong
440236418833862656    eu    -8.84E+01    eu    correct
440236780999409664    en    -1.79E+02    en    correct
440237853256474624    en    -1.74E+02    en    correct
440238558486749184    en    -1.76E+02    en    correct
440239929407574016    es    -1.03E+02    es    correct
440244528856182785    gl    -6.49E+01    es    wrong
440245209797259264    gl    -3.29E+01    es    wrong
440245827744063489    es    -7.11E+00    es    correct
440245855497760769    gl    -1.41E+02    es    wrong
440246376522596352    eu    -6.59E+01    es    wrong
440246693406453761    gl    -4.11E+01    es    wrong
440247057455251456    gl    -9.09E+01    es    wrong
440248047180976128    gl    -9.63E+01    es    wrong
440248987707527168    gl    -1.35E+02    es    wrong
440249804460154880    en    -1.35E+02    es    wrong
440250516837515264    ca    -5.12E+01    ca    correct
440252583920545792    gl    -1.15E+02    es    wrong
440254745911906305    es    -8.05E+01    es    correct
440256933820641281    gl    -2.05E+02    es    wrong
440257804449103873    es    -1.92E+01    es    correct
440260517090062336    gl    -1.31E+02    es    wrong
440263970134704128    en    -8.33E+01    es    wrong
440266180721639424    gl    -5.81E+01    es    wrong
440266897213640704    gl    -6.19E+01    es    wrong
440269274419302400    gl    -6.98E+01    es    wrong
440269386424020992    ca    -5.56E+01    es    wrong
440269450257137664    es    -4.80E+01    es    correct
440270064470982656    es    -1.35E+01    es    correct
440270076181487618    eu    -4.83E+01    es    wrong
440270900462891009    eu    -1.08E+02    eu    correct
440275274869907457    gl    -1.32E+02    es    wrong
440278860907958273    gl    -1.65E+02    es    wrong
440279018701873152    gl    -1.74E+02    es    wrong
440280131420966913    gl    -1.44E+02    es    wrong
440281113995780097    gl    -3.55E+01    es    wrong
440286915959336962    en    -1.13E+02    es    wrong
440300851065020418    en    -2.26E+01    en    correct
440301608073973760    gl    -1.02E+02    es    wrong
440305380485529600    es    -1.15E+02    es    correct
440306033387651072    es    -1.29E+02    es    correct
440313754572832768    gl    -1.29E+02    es    wrong
440314063059714049    gl    -2.74E+01    es    wrong
440321827739820032    gl    -4.07E+01    es    wrong
440326520410611712    en    -9.20E+01    es    wrong
440327588964478976    ca    -1.14E+02    es    wrong
440340253594112000    en    -7.38E+01    es    wrong
440342572935176192    en    -2.84E+01    en    correct
440355522244395008    es    -7.24E+01    en    wrong
440368863700451328    gl    -2.34E+02    es    wrong
440378785335369728    gl    -2.15E+02    es    wrong
440398888072409088    es    -1.20E+02    es    correct
440401250606018560    gl    -1.44E+02    es    wrong
440405154559688704    es    -2.20E+02    es    correct
440407732844507136    es    -1.97E+02    es    correct
440410826533789697    eu    -9.19E+01    es    wrong
440412754122645504    es    -1.53E+02    es    correct
440412907403485184    gl    -1.80E+02    es    wrong
440414270355165184    es    -5.78E+01    es    correct
440419755691098112    es    -1.06E+01    es    correct
440424536673353728    gl    -1.15E+02    es    wrong
440427076030836736    gl    -7.66E+01    es    wrong
440427330843193344    gl    -2.10E+02    es    wrong
440431699697336320    es    -1.18E+02    es    correct
440440133922607104    es    -3.46E+01    eu    wrong
440442381155176448    gl    -6.69E+01    es    wrong
440444750991478784    gl    -1.25E+02    es    wrong
440448522916470784    en    -5.30E+01    es    wrong
440454740275912704    es    -1.21E+01    eu    wrong
440457952214777857    pt    -4.49E+01    es    wrong
440459587498803200    gl    -2.00E+02    es    wrong
440459940982165504    eu    -1.26E+02    eu    correct
440461886208094208    gl    -4.12E+01    es    wrong
440462676662452224    gl    -6.21E+01    es    wrong
440464642234925056    gl    -5.54E+01    es    wrong
440465385880821760    ca    -6.47E+00    en    wrong
440465924664332288    pt    -9.19E+01    es    wrong
440466085507506176    es    -6.75E+00    es    correct
440467829863641089    gl    -5.43E+01    es    wrong
440468241149079552    gl    -1.91E+02    es    wrong
440468854939340800    eu    -8.07E+01    eu    correct
440470637891842048    eu    -5.13E+01    es    wrong
440472046456537088    gl    -2.07E+02    es    wrong
440473263740043264    gl    -6.75E+01    es    wrong
440473470598922240    es    -1.75E+02    es    correct
440473931620032512    es    -4.89E+01    es    correct
440474338979229696    gl    -9.08E+01    es    wrong
440475784181207040    eu    -6.84E+01    eu    correct
440475919128743937    ca    -4.21E+01    es    wrong
440477646414430208    eu    -1.02E+02    es    wrong
440477646628339712    es    -5.56E+01    es    correct
440479354397941760    pt    -8.70E+01    es    wrong
440481464707469312    eu    -3.70E+01    eu    correct
440481656374571008    es    -4.08E+01    es    correct
440483639923851264    eu    -5.37E+01    eu    correct
440483909235933184    es    -8.04E+01    es    correct
440484589703036928    pt    -8.11E+01    es    wrong
440486745764016128    en    -1.34E+02    es    wrong
440487281485291520    gl    -7.32E+01    es    wrong
440488184112508928    es    -6.18E+01    es    correct
440489511190274048    eu    -2.04E+02    eu    correct
440491779184672768    es    -4.86E+01    en    wrong
440492056730144768    gl    -1.81E+02    es    wrong
440493976982781952    ca    -2.08E+02    es    wrong
440494551963549696    es    -4.36E+01    es    correct
440495221709619201    es    -2.18E+02    es    correct
440495710828367872    gl    -1.55E+02    es    wrong
440501567238979584    eu    -2.94E+01    es    wrong
440503745718534145    en    -1.25E+01    es    wrong
440503955508846593    en    -2.65E+01    es    wrong
440505330124877824    gl    -1.99E+02    es    wrong
440506174413484032    es    -4.97E+01    es    correct
440506416000798721    gl    -4.11E+01    es    wrong
440507028239556608    eu    -1.00E+02    eu    correct
440509136783294464    gl    -6.43E+03    es    wrong
440584472086732800    gl    -1.32E+02    es    wrong
440584474947235840    gl    -9.06E+01    es    wrong
440586413981958144    gl    -5.52E+01    es    wrong
440586739489333248    en    -1.02E+02    es    wrong
440587150837694465    es    -3.89E+01    es    correct
440587922497351681    eu    -3.53E+01    es    wrong
440588450845429760    gl    -5.65E+01    es    wrong
440588788017152001    gl    -2.10E+02    es    wrong
440588870498144256    gl    -3.51E+01    es    wrong
440589999793528832    gl    -7.18E+01    es    wrong
440590754868908032    pt    -1.55E+02    es    wrong
440591230284886016    eu    -1.92E+02    es    wrong
440591527661031424    gl    -6.61E+01    es    wrong
440592186112225280    gl    -1.69E+02    es    wrong
440592259814547456    es    -7.14E+00    es    correct
440592690418548736    gl    -1.25E+02    es    wrong
440594341355356161    en    -2.86E+01    es    wrong
440594447966146561    eu    -6.49E+01    es    wrong
440595611340267520    gl    -3.66E+01    es    wrong
440595732484329472    gl    -9.01E+01    es    wrong
440595752520527872    en    -9.31E+01    en    correct
440598293794807808    gl    -4.96E+01    es    wrong
440599310741549056    gl    -1.85E+02    es    wrong
440599380601888768    gl    -9.28E+01    es    wrong
440601295528140802    gl    -1.16E+02    es    wrong
440603373684129792    gl    -1.12E+02    es    wrong
440606528685735936    eu    -2.16E+01    es    wrong
440608133484802048    pt    -6.87E+01    es    wrong
440608170273435648    eu    -1.09E+02    eu    correct
440608983599292416    es    -4.56E+01    es    correct
440608987932016641    gl    -4.79E+01    es    wrong
440614781561876480    es    -5.63E+01    es    correct
440615974770081794    gl    -1.12E+02    es    wrong
440616707733065728    gl    -4.19E+01    es    wrong
440618064493944832    es    -4.54E+01    es    correct
440618724652220416    gl    -1.57E+02    es    wrong
440619135039705088    gl    -1.45E+02    es    wrong
440621636656828417    gl    -2.18E+02    es    wrong
440622593855721472    gl    -1.77E+02    es    wrong
440623371647459328    gl    -1.78E+02    es    wrong
440623528791261184    eu    -1.98E+01    es    wrong
440624846721277952    gl    -1.59E+02    es    wrong
440626648732680193    eu    -7.24E+01    es    wrong
440628785285586944    gl    -3.36E+01    es    wrong
440629336681771008    es    -1.36E+02    es    correct
440630958065483776    eu    -2.34E+01    eu    correct
440631009663778816    eu    -7.41E+01    es    wrong
440632258085793792    ca    -2.83E+01    es    wrong
440634288795844608    gl    -2.03E+02    es    wrong
440635060988170241    ca    -2.08E+02    es    wrong
440638745189298176    gl    -5.09E+01    es    wrong
440641472145424384    pt    -1.05E+02    es    wrong
440641696611958784    eu    -3.97E+01    eu    correct
440642006482948097    gl    -8.02E+01    es    wrong
440643030249660416    pt    -5.93E+01    es    wrong
440649976499433472    gl    -1.94E+02    es    wrong
440650598908973056    gl    -1.06E+02    es    wrong
440655378158997504    gl    -1.48E+02    es    wrong
440659207634030593    gl    -4.66E+01    es    wrong
440663049926889472    gl    -1.26E+02    es    wrong
440671030580101120    gl    -1.45E+02    es    wrong
440680277304938496    en    -1.85E+02    en    correct
440684910194745344    gl    -3.99E+01    es    wrong
440700621306740736    gl    -7.48E+01    es    wrong
440720877366575104    ca    -2.10E+02    es    wrong
440729490877337600    gl    -7.87E+01    es    wrong
440731094699487232    es    -1.54E+02    es    correct
440736721232068608    eu    -2.74E+01    es    wrong
440744703156170753    gl    -1.82E+02    es    wrong
440744778981179392    eu    -7.59E+01    eu    correct
440748063704219648    gl    -4.25E+01    es    wrong
440755985381339136    es    -1.27E+02    es    correct
440758518044717056    en    -1.08E+02    en    correct
440758579436748800    ca    -8.39E+00    eu    wrong
440766078419873792    es    -1.43E+01    es    correct
440779224342085632    gl    -5.36E+01    es    wrong
440781541783121920    gl    -4.64E+01    es    wrong
440784332316495872    gl    -1.05E+02    es    wrong
440787310649806848    eu    -7.89E+01    eu    correct
440787356493578240    pt    -2.86E+01    es    wrong
440788644761464832    en    -5.36E+01    es    wrong
440789068897849344    eu    -3.93E+01    es    wrong
440789399564210176    gl    -4.15E+01    es    wrong
440792143024885760    en    -9.29E+01    en    correct
440793168288944128    eu    -1.99E+02    es    wrong
440793219983749120    en    -4.80E+01    es    wrong
440793423826935808    en    -5.33E+01    en    correct
440798004636024832    gl    -4.02E+01    es    wrong
440799549696016384    eu    -3.25E+01    eu    correct
440799749198053376    pt    -4.65E+01    es    wrong
440800453652398080    gl    -9.31E+01    es    wrong
440800924295233536    eu    -1.85E+02    eu    correct
440804524383809536    en    -7.16E+01    en    correct
440805064580812801    en    -4.01E+01    en    correct
440805153399402498    es    -5.37E+01    es    correct
440808747594973185    en    -5.71E+01    en    correct
440809481019351040    gl    -3.70E+01    es    wrong
440811482541203456    en    -2.89E+01    en    correct
440812258160295938    en    -5.05E+01    es    wrong
440813331591729152    es    -4.16E+01    es    correct
440814203138760705    en    -1.28E+02    en    correct
440817051046019072    pt    -9.43E+00    ca    wrong
440817677712760832    gl    -2.88E+01    es    wrong
440827022341054464    en    -5.46E+01    en    correct
440827672542060545    es    -3.92E+01    es    correct
440829710491451392    es    -2.73E+01    es    correct
440831739838365696    es    -1.25E+02    es    correct
440832910573445120    en    -6.15E+00    es    wrong
440833094615322624    es    -3.93E+01    es    correct
440836072810242048    es    -1.86E+02    es    correct
440836202326130688    en    -1.26E+02    en    correct
440840000385855489    gl    -5.11E+01    es    wrong
440841199923261441    eu    -3.38E+01    eu    correct
440842615068454913    gl    -1.89E+02    es    wrong
440842901137141761    en    -1.04E+02    en    correct
440843907018940416    gl    -7.76E+01    es    wrong
440844908979822592    eu    -2.83E+01    es    wrong
440845180443582464    en    -1.39E+02    es    wrong
440847052344684544    gl    -6.85E+01    es    wrong
440847740101472256    eu    -2.70E+01    eu    correct
440849973937442816    en    -4.69E+01    es    wrong
440850636931080192    es    -8.68E+01    es    correct
440851252155797504    gl    -1.12E+02    es    wrong
440851534667325441    es    -1.08E+02    es    correct
440851921373786112    gl    -4.73E+01    es    wrong
440854839434952704    gl    -9.48E+01    es    wrong
440861744811237376    gl    -1.17E+02    es    wrong
440863313829048320    gl    -9.00E+01    es    wrong
440863685243043842    gl    -3.45E+01    es    wrong
440863864197242881    gl    -1.24E+02    es    wrong
440864269354422272    es    -1.15E+02    es    correct
440865721971916800    en    -1.05E+02    es    wrong
440866555107495937    gl    -8.87E+01    es    wrong
440870362314993664    ca    -4.28E+01    es    wrong
440870985177526272    eu    -1.20E+02    eu    correct
440871296675876864    gl    -6.52E+01    es    wrong
440872108055605248    gl    -1.08E+02    es    wrong
440877739999244288    en    -7.26E+01    es    wrong
440882026586333184    en    -1.14E+02    en    correct
440882818055688192    en    -1.44E+02    en    correct
440883143479164928    gl    -2.15E+02    es    wrong
440884089462476800    en    -1.18E+02    en    correct
440884160757239810    en    -1.26E+02    en    correct
440886255191347200    en    -4.35E+01    es    wrong
440894358297272320    gl    -6.96E+01    es    wrong
440894715505176576    gl    -1.04E+02    es    wrong
440897167507849216    es    -1.16E+02    es    correct
440897559293612032    eu    -5.32E+01    es    wrong
440898730871754752    es    -2.45E+01    es    correct
440902045801791488    gl    -1.84E+02    es    wrong
440903342664212480    en    -3.06E+01    es    wrong
440908107821363200    pt    -2.86E+01    es    wrong
440914231639441408    gl    -1.70E+02    es    wrong
440915823625240576    gl    -1.40E+02    es    wrong
440918144761475072    gl    -5.84E+01    es    wrong
440919626302894080    pt    -1.06E+02    es    wrong
440919706007240704    en    -3.03E+01    es    wrong
440920866852200448    gl    -2.40E+01    es    wrong
440921728689401856    gl    -2.06E+02    es    wrong
440924324535365632    es    -9.56E+01    es    correct
440925085797740544    en    -6.60E+01    en    correct
440927046949425152    eu    -7.28E+01    eu    correct
440928244335132672    es    -3.90E+01    es    correct
440929286078627840    eu    -8.52E+01    eu    correct
440930232670113792    gl    -1.24E+02    es    wrong
440930601311674368    es    -8.99E+01    es    correct
440931087720910849    gl    -7.52E+01    es    wrong
440932005241700352    eu    -5.36E+01    eu    correct
440932266412212224    ca    -2.00E+02    es    wrong
440932641387200512    ca    -1.98E+02    es    wrong
440933072293625856    ca    -2.61E+01    es    wrong
440935978526842880    eu    -2.51E+01    eu    correct
440936510884679680    pt    -8.46E+01    es    wrong
440937244191625218    en    -2.57E+01    en    correct
