TWEETID    PREDICTEDVALUE    PROBABILITY    ACTUALVALUE RESULT
439542606624993280    gl    -8.14E+01    es wrong
439555042723766272    gl    -1.09E+02    es wrong
439558368873971712    gl    -1.38E+02    es wrong
439560861586558976    es    -1.42E+02    es correct
439567982818525184    eu    -5.10E+01    es wrong
439577257435463680    gl    -9.25E+01    es wrong
439608667051405312    eu    -1.39E+02    es wrong
439637547665612800    gl    -6.70E+01    es wrong
439645755952070656    gl    -1.93E+02    es wrong
439657427320180736    gl    -2.17E+02    es wrong
439663966571495425    ca    -9.94E+01    es wrong
439670178251829248    gl    -2.24E+02    es wrong
439684933595197440    eu    -6.54E+01    es wrong
439687870098726913    pt    -5.10E+01    es wrong
439687998012395520    gl    -4.49E+01    es wrong
439688683978248192    eu    -1.35E+02    es wrong
439692909018099712    eu    -2.27E+01    eu correct
439696075122028544    gl    -1.30E+02    es wrong
439697970804834304    eu    -6.72E+01    es wrong
439701625616474112    gl    -1.67E+01    es wrong
439706164432224256    eu    -6.16E+01    eu correct
439709342955474944    gl    -1.09E+02    es wrong
439713198129025024    en    -2.65E+01    es wrong
439714893332508672    eu    -2.16E+01    eu correct
439718759201509376    gl    -3.80E+01    es wrong
439719845756940288    gl    -4.92E+01    es wrong
439722026287529984    gl    -3.45E+01    es wrong
439723376354287616    eu    -2.24E+02    es wrong
439723585494859777    eu    -9.55E+01    es wrong
439723745511743488    gl    -5.11E+01    es wrong
439725940768538624    gl    -3.12E+01    es wrong
439726309103898624    gl    -1.85E+02    es wrong
439728314744586240    en    -7.48E+01    es wrong
439733759790030848    eu    -6.65E+01    es wrong
439734193401397248    eu    -2.01E+01    en wrong
439735656383012864    gl    -5.04E+01    es wrong
439739248175226881    gl    -3.09E+01    es wrong
439741213668020224    eu    -1.64E+02    es wrong
439742711311380480    gl    -3.45E+01    es wrong
439743216196521985    gl    -9.24E+01    es wrong
439744756328169472    gl    -6.39E+01    es wrong
439745131479322625    gl    -4.66E+01    es wrong
439745133052186625    gl    -1.21E+02    es wrong
439748495395020800    eu    -1.58E+02    es wrong
439751898217070592    gl    -1.49E+02    es wrong
439753018041708546    eu    -2.21E+02    es wrong
439755659622776832    eu    -3.78E+01    es wrong
439756762099351552    ca    -1.51E+01    es wrong
439758392232792064    eu    -4.67E+01    es wrong
439758892613238784    gl    -1.37E+02    es wrong
439760308354441217    gl    -1.79E+02    es wrong
439762722088316929    gl    -3.25E+01    es wrong
439765878427897856    en    -3.98E+01    es wrong
439771958402891776    eu    -8.50E+01    es wrong
439772132441358336    gl    -5.41E+01    es wrong
439772487346565121    eu    -1.84E+02    en wrong
439772647812263936    gl    -1.11E+02    es wrong
439772990923079681    gl    -2.20E+02    es wrong
439774469381709824    gl    -2.83E+01    es wrong
439777421014102016    eu    -9.36E+01    es wrong
439778173753249792    eu    -8.12E+01    es wrong
439778197543321600    es    -4.05E+00    es correct
439779027084410880    gl    -1.00E+02    es wrong
439779529671065601    eu    -3.42E+01    es wrong
439780360181010432    gl    -7.81E+01    es wrong
439781041231122432    eu    -1.06E+02    es wrong
439782848011460609    eu    -1.25E+02    es wrong
439791245490405376    gl    -2.11E+02    es wrong
439793773376458753    gl    -1.26E+02    es wrong
439794545736577024    eu    -1.67E+02    es wrong
439796156428996608    eu    -1.80E+01    eu correct
439799132828741632    en    -1.81E+02    en correct
439803817732091904    gl    -9.98E+01    es wrong
439805403736858624    eu    -9.40E+01    es wrong
439806238755659776    eu    -1.46E+02    eu correct
439811780182020096    eu    -1.49E+02    es wrong
439833479644450816    eu    -1.15E+02    eu correct
439843120029917185    gl    -1.10E+02    es wrong
439850245397413889    eu    -6.59E+01    eu correct
439851117883949056    gl    -6.28E+01    es wrong
439855891396177920    gl    -6.62E+01    es wrong
439860023263789056    gl    -2.31E+02    es wrong
439863014502981632    eu    -1.22E+02    eu correct
439865566594367489    eu    -4.11E+01    eu correct
439866488997310464    gl    -2.85E+01    es wrong
439867278801526785    gl    -1.02E+02    es wrong
439868487641890816    gl    -3.39E+01    es wrong
439877239271088128    eu    -4.21E+01    es wrong
439877973643370496    en    -1.35E+02    es wrong
439880060351578112    en    -2.20E+02    en correct
439880758489284608    gl    -1.54E+02    es wrong
439881764405018624    gl    -1.68E+02    es wrong
439881918583427072    gl    -1.94E+02    es wrong
439882129527173120    eu    -7.05E+01    es wrong
439882175077703680    eu    -1.31E+02    es wrong
439885845106294784    gl    -7.07E+01    es wrong
439886952209600512    es    -7.69E+01    es correct
439887073907343360    gl    -4.49E+01    es wrong
439887840508653568    gl    -8.79E+01    es wrong
439888209389314048    eu    -6.19E+01    eu correct
439889674304503808    gl    -9.30E+01    es wrong
439890502595645441    eu    -6.91E+01    es wrong
439890607415521280    gl    -5.39E+01    es wrong
439891531810754560    eu    -6.00E+01    es wrong
439891978055344128    gl    -1.26E+02    es wrong
439892633201442816    gl    -3.34E+01    es wrong
439896323006160896    eu    -8.23E+01    es wrong
439898573048520704    gl    -2.17E+02    es wrong
439899184825925633    gl    -8.77E+01    es wrong
439901534152060928    eu    -7.81E+01    eu correct
439902882482376704    eu    -9.03E+01    es wrong
439907530010284032    en    -4.62E+01    es wrong
439913363897065472    eu    -1.33E+02    en wrong
439917540643713024    gl    -3.23E+01    es wrong
439918922717229057    gl    -1.63E+02    es wrong
439920801400500224    eu    -5.97E+01    es wrong
439922834241245184    gl    -5.52E+01    es wrong
439923689531133952    eu    -7.94E+01    es wrong
439924336389287936    eu    -1.43E+02    es wrong
439924591817785344    eu    -1.00E+02    es wrong
439924668418768896    gl    -1.53E+01    es wrong
439925687655604224    eu    -1.11E+02    es wrong
439928861376004096    ca    -6.35E+01    es wrong
439929140280840192    eu    -2.26E+01    es wrong
439937400153051136    gl    -7.01E+01    es wrong
439938487660601344    pt    -1.14E+02    es wrong
439940871832993792    gl    -4.12E+01    es wrong
439942466524151809    gl    -1.43E+02    es wrong
439943628337991680    eu    -1.47E+01    eu correct
439945971234267136    gl    -1.15E+02    es wrong
439954951406514177    eu    -2.19E+01    es wrong
439957503279771648    gl    -1.42E+02    es wrong
439958139673128960    en    -5.33E+01    es wrong
439960813869092866    eu    -5.27E+01    eu correct
439966361222385665    en    -1.04E+02    es wrong
439991199475056640    es    -1.63E+02    es correct
440005050271006720    es    -1.58E+02    es correct
440030203675672576    gl    -6.85E+01    es wrong
440036135801475072    eu    -4.41E+01    es wrong
440037387243388928    gl    -2.29E+02    es wrong
440037575362113536    gl    -1.20E+02    es wrong
440039016222969856    es    -1.63E+02    es correct
440042517539856384    eu    -1.11E+02    eu correct
440047423801802752    gl    -4.11E+01    es wrong
440050706494808064    gl    -4.18E+01    es wrong
440051211795193856    eu    -2.45E+01    es wrong
440051860909879296    gl    -1.31E+02    es wrong
440054051187609600    gl    -1.12E+02    es wrong
440056113581809664    eu    -2.70E+00    eu correct
440062495173410816    gl    -2.07E+01    es wrong
440064271683424256    eu    -7.56E+01    es wrong
440064437085806592    gl    -1.66E+01    es wrong
440067559165927424    gl    -1.37E+02    es wrong
440071874123694080    gl    -2.27E+02    es wrong
440076707484426240    eu    -6.70E+01    es wrong
440081624068546561    en    -1.80E+02    es wrong
440083055772856320    eu    -5.36E+01    en wrong
440083929245425664    gl    -3.88E+01    es wrong
440085653326675968    gl    -2.12E+02    es wrong
440086968740085760    eu    -6.62E+01    es wrong
440087026902528000    eu    -2.78E+01    es wrong
440087494122819585    gl    -4.12E+01    es wrong
440088995922718720    gl    -1.31E+02    es wrong
440090734352662528    gl    -1.26E+02    es wrong
440091534835593216    en    -5.60E+01    es wrong
440092286186442752    gl    -2.28E+02    es wrong
440093179627716608    eu    -9.96E+01    es wrong
440093674161340416    gl    -6.41E+01    es wrong
440094360991191041    eu    -1.12E+02    es wrong
440095537212456960    gl    -1.30E+02    es wrong
440096596853030912    en    -4.34E+01    en correct
440096806773723136    eu    -1.15E+02    es wrong
440100288142528512    eu    -2.10E+01    eu correct
440101073689518081    eu    -1.45E+02    es wrong
440104660091670528    eu    -4.02E+01    es wrong
440105897411764224    es    -3.37E+01    es correct
440106224827518976    en    -2.74E+01    en correct
440109967161700353    eu    -4.53E+01    eu correct
440112498919112704    pt    -1.39E+02    es wrong
440112889874378752    eu    -1.81E+02    es wrong
440113304078675968    gl    -2.89E+01    es wrong
440113553547472896    gl    -1.75E+02    es wrong
440119249877884928    gl    -9.79E+01    es wrong
440119426281897984    eu    -3.38E+01    eu correct
440120475365425152    gl    -7.96E+01    es wrong
440121573182558208    gl    -4.60E+01    es wrong
440122522902990848    eu    -2.09E+01    es wrong
440123756594601984    gl    -1.56E+02    es wrong
440125137212690432    gl    -1.22E+02    es wrong
440131832273977345    gl    -1.08E+02    es wrong
440134184167047168    gl    -7.61E+01    es wrong
440138367918145536    gl    -1.08E+02    es wrong
440138442039898112    eu    -5.45E+01    es wrong
440140132575088640    es    -1.83E+02    es correct
440142325411364864    en    -2.03E+01    en correct
440142761564856320    en    -1.77E+02    en correct
440143542061916160    gl    -1.37E+02    es wrong
440143940780822528    gl    -1.18E+02    es wrong
440148782106550272    eu    -5.32E+01    es wrong
440151450812170240    gl    -1.69E+02    es wrong
440151996805689344    gl    -8.78E+01    es wrong
440154973201248256    es    -1.23E+02    es correct
440158838503657473    gl    -1.62E+01    es wrong
440161436434989056    gl    -2.14E+02    es wrong
440165084330196992    en    -6.06E+01    es wrong
440166697522429952    gl    -7.16E+01    es wrong
440166817571831808    gl    -7.21E+01    es wrong
440166938837127170    gl    -7.75E+01    es wrong
440168545717350400    gl    -1.39E+02    es wrong
440173712621719554    gl    -8.26E+01    es wrong
440175695554445312    eu    -7.48E+01    es wrong
440175920134250497    gl    -1.77E+02    es wrong
440177014948249600    gl    -6.92E+01    es wrong
440180607692591104    gl    -3.29E+01    es wrong
440183369717268481    eu    -1.15E+02    es wrong
440189118816223233    es    -2.02E+02    es correct
440189310667882497    eu    -2.64E+01    eu correct
440193306119921664    eu    -1.45E+02    es wrong
440193608743141376    gl    -2.12E+02    es wrong
440195047536209920    es    -1.41E+02    es correct
440195648080855040    gl    -8.15E+01    es wrong
440199397100761090    gl    -5.35E+01    es wrong
440200055363207168    es    -1.13E+02    es correct
440207131867119617    gl    -1.41E+02    es wrong
440207895050072064    gl    -2.10E+02    es wrong
440208826986692608    gl    -1.93E+01    es wrong
440210853347201024    gl    -2.37E+02    es wrong
440212305876647936    eu    -2.28E+02    es wrong
440213397389336576    gl    -7.89E+01    es wrong
440216563015512064    eu    -1.65E+02    es wrong
440217412043276289    gl    -1.25E+02    es wrong
440218749040611330    gl    -1.96E+02    es wrong
440220846544945152    gl    -2.13E+02    es wrong
440221383155789824    es    -7.28E+01    es correct
440223170025758720    en    -1.12E+02    es wrong
440223231333916672    pt    -6.87E+01    es wrong
440223464008744960    gl    -5.42E+01    es wrong
440223664072847360    gl    -1.22E+02    es wrong
440226811440803841    gl    -2.08E+01    es wrong
440227196465319936    gl    -8.77E+01    es wrong
440228099637407744    eu    -1.20E+02    es wrong
440228647749050368    eu    -1.29E+02    eu correct
440230500607619072    gl    -1.48E+01    es wrong
440230856238854144    gl    -2.25E+02    es wrong
440231619610554368    en    -6.01E+01    es wrong
440231963333775360    gl    -1.56E+02    es wrong
440232973733208064    en    -1.75E+02    en correct
440233026946342912    eu    -1.91E+02    es wrong
440234262072418304    eu    -5.78E+01    eu correct
440235306999353344    es    -1.60E+02    es correct
440235308010192896    es    -1.66E+02    es correct
440235365669294080    en    -1.65E+02    en correct
440235909418856448    gl    -2.92E+01    es wrong
440236418833862656    eu    -8.93E+01    eu correct
440236780999409664    en    -1.86E+02    en correct
440237853256474624    en    -1.80E+02    en correct
440238558486749184    en    -1.83E+02    en correct
440239929407574016    es    -1.07E+02    es correct
440244528856182785    gl    -7.00E+01    es wrong
440245209797259264    gl    -3.55E+01    es wrong
440245827744063489    es    -6.96E+00    es correct
440245855497760769    eu    -1.51E+02    es wrong
440246376522596352    eu    -6.89E+01    es wrong
440246693406453761    eu    -4.45E+01    es wrong
440247057455251456    gl    -9.64E+01    es wrong
440248047180976128    gl    -1.03E+02    es wrong
440248987707527168    gl    -1.46E+02    es wrong
440249804460154880    gl    -1.46E+02    es wrong
440250516837515264    eu    -5.39E+01    ca wrong
440252583920545792    eu    -1.22E+02    es wrong
440254745911906305    eu    -8.97E+01    es wrong
440256933820641281    gl    -2.13E+02    es wrong
440257804449103873    eu    -2.11E+01    es wrong
440260517090062336    eu    -1.38E+02    es wrong
440263970134704128    gl    -8.80E+01    es wrong
440266180721639424    gl    -6.25E+01    es wrong
440266897213640704    eu    -6.48E+01    es wrong
440269274419302400    gl    -7.05E+01    es wrong
440269386424020992    gl    -5.85E+01    es wrong
440269450257137664    gl    -5.24E+01    es wrong
440270064470982656    en    -1.38E+01    es wrong
440270076181487618    gl    -4.84E+01    es wrong
440270900462891009    eu    -1.10E+02    eu correct
440275274869907457    gl    -1.41E+02    es wrong
440278860907958273    gl    -1.77E+02    es wrong
440279018701873152    gl    -1.86E+02    es wrong
440280131420966913    gl    -1.52E+02    es wrong
440281113995780097    ca    -3.63E+01    es wrong
440286915959336962    gl    -1.21E+02    es wrong
440300851065020418    en    -2.37E+01    en correct
440301608073973760    eu    -1.08E+02    es wrong
440305380485529600    eu    -1.23E+02    es wrong
440306033387651072    eu    -1.41E+02    es wrong
440313754572832768    gl    -1.37E+02    es wrong
440314063059714049    gl    -2.93E+01    es wrong
440321827739820032    gl    -4.29E+01    es wrong
440326520410611712    en    -9.81E+01    es wrong
440327588964478976    gl    -1.19E+02    es wrong
440340253594112000    eu    -8.00E+01    es wrong
440342572935176192    en    -2.90E+01    en correct
440355522244395008    en    -7.62E+01    en correct
440368863700451328    gl    -2.51E+02    es wrong
440378785335369728    gl    -2.26E+02    es wrong
440398888072409088    es    -1.33E+02    es correct
440401250606018560    gl    -1.54E+02    es wrong
440405154559688704    eu    -2.35E+02    es wrong
440407732844507136    eu    -2.14E+02    es wrong
440410826533789697    eu    -9.45E+01    es wrong
440412754122645504    eu    -1.61E+02    es wrong
440412907403485184    gl    -1.93E+02    es wrong
440414270355165184    en    -6.51E+01    es wrong
440419755691098112    gl    -1.13E+01    es wrong
440424536673353728    eu    -1.20E+02    es wrong
440427076030836736    eu    -8.15E+01    es wrong
440427330843193344    gl    -2.18E+02    es wrong
440431699697336320    en    -1.28E+02    es wrong
440440133922607104    eu    -3.43E+01    eu correct
440442381155176448    gl    -7.09E+01    es wrong
440444750991478784    gl    -1.36E+02    es wrong
440448522916470784    eu    -5.68E+01    es wrong
440454740275912704    eu    -1.20E+01    eu correct
440457952214777857    pt    -4.83E+01    es wrong
440459587498803200    gl    -2.11E+02    es wrong
440459940982165504    eu    -1.26E+02    eu correct
440461886208094208    gl    -4.42E+01    es wrong
440462676662452224    gl    -6.66E+01    es wrong
440464642234925056    eu    -6.03E+01    es wrong
440465385880821760    ca    -6.35E+00    en wrong
440465924664332288    gl    -9.60E+01    es wrong
440466085507506176    es    -6.75E+00    es correct
440467829863641089    gl    -5.76E+01    es wrong
440468241149079552    eu    -2.04E+02    es wrong
440468854939340800    eu    -8.25E+01    eu correct
440470637891842048    eu    -5.28E+01    es wrong
440472046456537088    eu    -2.15E+02    es wrong
440473263740043264    gl    -7.13E+01    es wrong
440473470598922240    eu    -1.84E+02    es wrong
440473931620032512    gl    -5.27E+01    es wrong
440474338979229696    eu    -9.26E+01    es wrong
440475784181207040    eu    -6.93E+01    eu correct
440475919128743937    eu    -4.45E+01    es wrong
440477646414430208    eu    -1.05E+02    es wrong
440477646628339712    ca    -6.09E+01    es wrong
440479354397941760    gl    -9.40E+01    es wrong
440481464707469312    eu    -3.58E+01    eu correct
440481656374571008    eu    -4.39E+01    es wrong
440483639923851264    eu    -5.29E+01    eu correct
440483909235933184    eu    -8.67E+01    es wrong
440484589703036928    eu    -8.52E+01    es wrong
440486745764016128    eu    -1.44E+02    es wrong
440487281485291520    gl    -7.83E+01    es wrong
440488184112508928    eu    -6.44E+01    es wrong
440489511190274048    eu    -2.07E+02    eu correct
440491779184672768    eu    -5.11E+01    en wrong
440492056730144768    gl    -1.88E+02    es wrong
440493976982781952    gl    -2.21E+02    es wrong
440494551963549696    eu    -4.47E+01    es wrong
440495221709619201    eu    -2.26E+02    es wrong
440495710828367872    eu    -1.65E+02    es wrong
440501567238979584    eu    -3.01E+01    es wrong
440503745718534145    en    -1.33E+01    es wrong
440503955508846593    en    -2.84E+01    es wrong
440505330124877824    gl    -2.10E+02    es wrong
440506174413484032    eu    -4.99E+01    es wrong
440506416000798721    gl    -4.39E+01    es wrong
440507028239556608    eu    -1.01E+02    eu correct
440509136783294464    eu    -6.72E+03    es wrong
440584472086732800    gl    -1.42E+02    es wrong
440584474947235840    gl    -9.62E+01    es wrong
440586413981958144    gl    -5.46E+01    es wrong
440586739489333248    en    -1.11E+02    es wrong
440587150837694465    gl    -4.12E+01    es wrong
440587922497351681    eu    -3.68E+01    es wrong
440588450845429760    eu    -6.18E+01    es wrong
440588788017152001    gl    -2.23E+02    es wrong
440588870498144256    gl    -3.59E+01    es wrong
440589999793528832    gl    -7.40E+01    es wrong
440590754868908032    gl    -1.59E+02    es wrong
440591230284886016    eu    -2.01E+02    es wrong
440591527661031424    gl    -6.97E+01    es wrong
440592186112225280    gl    -1.78E+02    es wrong
440592259814547456    es    -6.85E+00    es correct
440592690418548736    gl    -1.33E+02    es wrong
440594341355356161    en    -3.03E+01    es wrong
440594447966146561    eu    -6.38E+01    es wrong
440595611340267520    eu    -3.81E+01    es wrong
440595732484329472    gl    -9.43E+01    es wrong
440595752520527872    en    -9.98E+01    en correct
440598293794807808    gl    -5.20E+01    es wrong
440599310741549056    gl    -1.97E+02    es wrong
440599380601888768    gl    -9.82E+01    es wrong
440601295528140802    eu    -1.20E+02    es wrong
440603373684129792    eu    -1.15E+02    es wrong
440606528685735936    eu    -2.19E+01    es wrong
440608133484802048    pt    -7.55E+01    es wrong
440608170273435648    eu    -1.10E+02    eu correct
440608983599292416    es    -5.06E+01    es correct
440608987932016641    gl    -4.96E+01    es wrong
440614781561876480    es    -6.01E+01    es correct
440615974770081794    gl    -1.19E+02    es wrong
440616707733065728    eu    -4.48E+01    es wrong
440618064493944832    eu    -4.62E+01    es wrong
440618724652220416    gl    -1.67E+02    es wrong
440619135039705088    gl    -1.52E+02    es wrong
440621636656828417    gl    -2.31E+02    es wrong
440622593855721472    gl    -1.87E+02    es wrong
440623371647459328    gl    -1.91E+02    es wrong
440623528791261184    eu    -1.99E+01    es wrong
440624846721277952    gl    -1.69E+02    es wrong
440626648732680193    eu    -7.27E+01    es wrong
440628785285586944    gl    -3.52E+01    es wrong
440629336681771008    eu    -1.46E+02    es wrong
440630958065483776    eu    -2.14E+01    eu correct
440631009663778816    eu    -7.77E+01    es wrong
440632258085793792    gl    -2.93E+01    es wrong
440634288795844608    gl    -2.11E+02    es wrong
440635060988170241    eu    -2.18E+02    es wrong
440638745189298176    gl    -5.40E+01    es wrong
440641472145424384    eu    -1.13E+02    es wrong
440641696611958784    eu    -3.98E+01    eu correct
440642006482948097    eu    -8.55E+01    es wrong
440643030249660416    pt    -6.40E+01    es wrong
440649976499433472    gl    -2.06E+02    es wrong
440650598908973056    gl    -1.11E+02    es wrong
440655378158997504    gl    -1.58E+02    es wrong
440659207634030593    eu    -4.95E+01    es wrong
440663049926889472    gl    -1.33E+02    es wrong
440671030580101120    eu    -1.54E+02    es wrong
440680277304938496    eu    -1.99E+02    en wrong
440684910194745344    gl    -4.35E+01    es wrong
440700621306740736    eu    -7.77E+01    es wrong
440720877366575104    eu    -2.21E+02    es wrong
440729490877337600    gl    -8.42E+01    es wrong
440731094699487232    eu    -1.69E+02    es wrong
440736721232068608    eu    -2.82E+01    es wrong
440744703156170753    gl    -1.91E+02    es wrong
440744778981179392    eu    -7.48E+01    eu correct
440748063704219648    gl    -4.67E+01    es wrong
440755985381339136    eu    -1.42E+02    es wrong
440758518044717056    en    -1.19E+02    en correct
440758579436748800    gl    -8.16E+00    eu wrong
440766078419873792    es    -1.23E+01    es correct
440779224342085632    gl    -5.63E+01    es wrong
440781541783121920    eu    -4.92E+01    es wrong
440784332316495872    gl    -1.06E+02    es wrong
440787310649806848    eu    -7.77E+01    eu correct
440787356493578240    eu    -3.07E+01    es wrong
440788644761464832    eu    -5.77E+01    es wrong
440789068897849344    gl    -4.00E+01    es wrong
440789399564210176    gl    -4.44E+01    es wrong
440792143024885760    en    -9.90E+01    en correct
440793168288944128    eu    -2.02E+02    es wrong
440793219983749120    en    -5.24E+01    es wrong
440793423826935808    en    -5.64E+01    en correct
440798004636024832    gl    -4.18E+01    es wrong
440799549696016384    eu    -3.35E+01    eu correct
440799749198053376    gl    -4.96E+01    es wrong
440800453652398080    gl    -9.71E+01    es wrong
440800924295233536    eu    -1.85E+02    eu correct
440804524383809536    en    -7.83E+01    en correct
440805064580812801    en    -4.40E+01    en correct
440805153399402498    gl    -5.67E+01    es wrong
440808747594973185    en    -6.15E+01    en correct
440809481019351040    eu    -3.90E+01    es wrong
440811482541203456    en    -3.03E+01    en correct
440812258160295938    eu    -5.31E+01    es wrong
440813331591729152    es    -4.42E+01    es correct
440814203138760705    en    -1.39E+02    en correct
440817051046019072    eu    -1.00E+01    ca wrong
440817677712760832    gl    -3.06E+01    es wrong
440827022341054464    en    -5.98E+01    en correct
440827672542060545    eu    -4.02E+01    es wrong
440829710491451392    es    -2.97E+01    es correct
440831739838365696    es    -1.43E+02    es correct
440832910573445120    es    -6.24E+00    es correct
440833094615322624    es    -4.43E+01    es correct
440836072810242048    eu    -1.96E+02    es wrong
440836202326130688    en    -1.32E+02    en correct
440840000385855489    gl    -5.50E+01    es wrong
440841199923261441    eu    -3.34E+01    eu correct
440842615068454913    gl    -1.99E+02    es wrong
440842901137141761    en    -1.14E+02    en correct
440843907018940416    eu    -8.07E+01    es wrong
440844908979822592    eu    -2.87E+01    es wrong
440845180443582464    eu    -1.49E+02    es wrong
440847052344684544    eu    -7.14E+01    es wrong
440847740101472256    eu    -2.72E+01    eu correct
440849973937442816    eu    -4.71E+01    es wrong
440850636931080192    gl    -9.14E+01    es wrong
440851252155797504    gl    -1.19E+02    es wrong
440851534667325441    gl    -1.16E+02    es wrong
440851921373786112    gl    -5.12E+01    es wrong
440854839434952704    gl    -1.01E+02    es wrong
440861744811237376    gl    -1.26E+02    es wrong
440863313829048320    gl    -9.24E+01    es wrong
440863685243043842    gl    -3.55E+01    es wrong
440863864197242881    gl    -1.32E+02    es wrong
440864269354422272    es    -1.27E+02    es correct
440865721971916800    gl    -1.11E+02    es wrong
440866555107495937    eu    -9.15E+01    es wrong
440870362314993664    gl    -4.49E+01    es wrong
440870985177526272    eu    -1.20E+02    eu correct
440871296675876864    gl    -6.95E+01    es wrong
440872108055605248    gl    -1.13E+02    es wrong
440877739999244288    gl    -7.88E+01    es wrong
440882026586333184    en    -1.18E+02    en correct
440882818055688192    en    -1.50E+02    en correct
440883143479164928    gl    -2.27E+02    es wrong
440884089462476800    en    -1.25E+02    en correct
440884160757239810    en    -1.31E+02    en correct
440886255191347200    en    -4.60E+01    es wrong
440894358297272320    eu    -7.11E+01    es wrong
440894715505176576    gl    -1.10E+02    es wrong
440897167507849216    es    -1.31E+02    es correct
440897559293612032    eu    -5.45E+01    es wrong
440898730871754752    eu    -2.64E+01    es wrong
440902045801791488    gl    -1.89E+02    es wrong
440903342664212480    en    -3.34E+01    es wrong
440908107821363200    gl    -3.10E+01    es wrong
440914231639441408    gl    -1.80E+02    es wrong
440915823625240576    gl    -1.48E+02    es wrong
440918144761475072    gl    -6.12E+01    es wrong
440919626302894080    pt    -1.14E+02    es wrong
440919706007240704    gl    -3.11E+01    es wrong
440920866852200448    gl    -2.47E+01    es wrong
440921728689401856    gl    -2.14E+02    es wrong
440924324535365632    eu    -1.03E+02    es wrong
440925085797740544    en    -7.18E+01    en correct
440927046949425152    eu    -7.29E+01    eu correct
440928244335132672    eu    -4.20E+01    es wrong
440929286078627840    eu    -8.78E+01    eu correct
440930232670113792    eu    -1.31E+02    es wrong
440930601311674368    gl    -9.37E+01    es wrong
440931087720910849    gl    -8.01E+01    es wrong
440932005241700352    eu    -5.32E+01    eu correct
440932266412212224    ca    -2.18E+02    es wrong
440932641387200512    ca    -2.15E+02    es wrong
440933072293625856    ca    -2.84E+01    es wrong
440935978526842880    eu    -2.52E+01    eu correct
440936510884679680    eu    -8.66E+01    es wrong
440937244191625218    en    -2.70E+01    en correct
440937498018336768    gl    -5.45E+01    es wrong
440939330979524609    gl    -9.53E+01    es wrong
440943271276462080    en    -8.01E+01    en correct
440944032450375680    eu    -1.60E+02    es wrong
440945696343326721    eu    -4.01E+01    es wrong
440947251821953026    eu    -8.55E+01    es wrong
440947729653825536    eu    -1.05E+01    es wrong
440949158401564672    gl    -6.50E+01    es wrong
440950885771149312    ca    -1.80E+01    es wrong
440951055841771520    eu    -8.89E+01    es wrong
440951367721828353    gl    -1.87E+01    es wrong
440953279158423552    eu    -3.63E+01    es wrong
440954018987528192    gl    -4.79E+01    es wrong
440954191519834112    gl    -4.00E+01    es wrong
440954248365223936    es    -1.56E+01    es correct
440956944489005058    gl    -2.20E+02    es wrong
440957350368006144    ca    -5.70E+01    es wrong
440958131246346240    eu    -7.16E+01    es wrong
440959111375912960    gl    -8.57E+01    es wrong
440959630559432704    gl    -8.14E+01    es wrong
